,RBP?,cluster,phase,meanLogFC,pvalue,p_adjust,Product Description,Input ID,Paralog count,Chromosome,Genomic Location (Gene),Genomic Location (Transcript)
C4B63_160g34,No,early,15.2398422278276,0.446714584361565,0,0,metallo-beta-lactamase-like protein,C4B63_160g34,1,Not Assigned,"PRFA01000160:51,730..52,809(-)",PRFA01000160:51730..52809(-)
C4B63_161g32,No,early,14.967968953758,0.880686674533414,0,0,amino acid transporter,C4B63_161g32,0,Not Assigned,"PRFA01000161:25,670..27,112(-)",PRFA01000161:25670..27112(-)
C4B63_162g33,No,middle,21.9589497884081,0.684278078979625,0,0,chaperonin TCP20,C4B63_162g33,1,Not Assigned,"PRFA01000162:16,529..18,160(-)",PRFA01000162:16529..18160(-)
C4B63_164g21,No,early,13.730131323241,0.767376458804303,0,0,retrotransposon hot spot (RHS) protein,C4B63_164g21,704,Not Assigned,"PRFA01000164:58,134..60,536(+)",PRFA01000164:58134..60536(+)
C4B63_16g100,No,middle,18.2460034079603,0.534247585704374,0,0,cytosolic leucyl aminopeptidase,C4B63_16g100,1,Not Assigned,"PRFA01000016:306,234..307,106(+)",PRFA01000016:306234..307106(+)
C4B63_16g108,No,middle,17.3933205003854,0.437151135076278,0,0,chaperonin/T-complex protein 1 gamma subunit,C4B63_16g108,1,Not Assigned,"PRFA01000016:320,778..322,445(+)",PRFA01000016:320778..322445(+)
C4B63_16g110,No,early,14.7475529087755,0.335157195138265,0,0,conserved hypothetical protein,C4B63_16g110,0,Not Assigned,"PRFA01000016:324,945..327,194(+)",PRFA01000016:324945..327194(+)
C4B63_16g12,No,middle,22.3418932853191,0.564956456746498,0,0,conserved hypothetical protein,C4B63_16g12,1,Not Assigned,"PRFA01000016:26,102..27,061(+)",PRFA01000016:26102..27061(+)
C4B63_16g120,No,middle,24.7094848037283,1.59355686827763,0,0,lathosterol oxidase,C4B63_16g120,0,Not Assigned,"PRFA01000016:350,315..350,779(+)",PRFA01000016:350315..350779(+)
C4B63_16g121,No,middle,25.4114479131489,0.951651898305012,0,0,dynein heavy chain,C4B63_16g121,33,Not Assigned,"PRFA01000016:353,204..367,228(+)",PRFA01000016:353204..367228(+)
C4B63_16g13,No,early,15.3939111089869,0.47665971465209,0,0,3-oxo-5-alpha-steroid 4-dehydrogenase,C4B63_16g13,1,Not Assigned,"PRFA01000016:28,653..29,669(+)",PRFA01000016:28653..29669(+)
C4B63_16g131,No,middle,19.025177964206,0.53151684622456,0,0,conserved hypothetical protein,C4B63_16g131,0,Not Assigned,"PRFA01000016:384,015..385,214(+)",PRFA01000016:384015..385214(+)
C4B63_16g155,No,middle,19.2721767036773,0.609586752209588,0,0,dehydrogenases/reductases (SDR),C4B63_16g155,0,Not Assigned,"PRFA01000016:426,664..427,596(+)",PRFA01000016:426664..427596(+)
C4B63_16g157,No,late,34.1992701259444,1.05018416090384,0,0,conserved hypothetical protein,C4B63_16g157,0,Not Assigned,"PRFA01000016:429,822..431,291(+)",PRFA01000016:429822..431291(+)
C4B63_16g166,No,middle,19.0635865855307,0.329242534878416,0,0,V-type proton ATPase subunit a,C4B63_16g166,1,Not Assigned,"PRFA01000016:444,871..447,192(+)",PRFA01000016:444871..447192(+)
C4B63_16g17,No,middle,26.9279935116151,1.04435766649395,0,0,acetyl-CoA synthetase,C4B63_16g17,0,Not Assigned,"PRFA01000016:34,316..36,349(+)",PRFA01000016:34316..36349(+)
C4B63_16g176,No,late,42.3290024577927,0.659017893976571,0,0,neutral sphingomyelinase activation associated factor-like protein,C4B63_16g176,710,Not Assigned,"PRFA01000016:462,092..464,593(+)",PRFA01000016:462092..464593(+)
C4B63_16g183,No,late,41.998324332808,2.54747484827573,0,0,surface protease GP63,C4B63_16g183,94,Not Assigned,"PRFA01000016:482,621..484,684(+)",PRFA01000016:482621..484684(+)
C4B63_16g290,No,middle,20.1771483848654,0.471733945181641,0,0,mitochondrial RNA binding protein,C4B63_16g290,0,Not Assigned,"PRFA01000016:187,120..188,136(-)",PRFA01000016:187120..188136(-)
C4B63_16g302,No,middle,18.5104549896306,0.555684870541828,0,0,3-ketoacyl-CoA thiolase,C4B63_16g302,0,Not Assigned,"PRFA01000016:157,399..158,712(-)",PRFA01000016:157399..158712(-)
C4B63_16g315,No,early,15.8636657540215,0.680616709143957,0,0,mitochondrial DNA primase,C4B63_16g315,0,Not Assigned,"PRFA01000016:119,167..121,038(-)",PRFA01000016:119167..121038(-)
C4B63_16g319,No,middle,16.7963006092463,0.35250451873092,0,0,conserved hypothetical protein,C4B63_16g319,0,Not Assigned,"PRFA01000016:113,911..115,284(-)",PRFA01000016:113911..115284(-)
C4B63_16g95,No,middle,24.9118224530554,1.56266736571028,0,0,conserved hypothetical protein,C4B63_16g95,0,Not Assigned,"PRFA01000016:291,863..293,749(+)",PRFA01000016:291863..293749(+)
C4B63_16g97,No,middle,21.4560019559293,0.381406114133407,0,0,conserved hypothetical protein,C4B63_16g97,0,Not Assigned,"PRFA01000016:301,450..302,139(+)",PRFA01000016:301450..302139(+)
C4B63_170g1,No,middle,17.768442769749,0.714840987284747,0,0,conserved hypothetical protein,C4B63_170g1,18,Not Assigned,"PRFA01000170:1,575..2,141(+)",PRFA01000170:1575..2141(+)
C4B63_175g9,No,early,14.4040999300567,0.701824424997088,0,0,heat shock protein DNAJ,C4B63_175g9,2,Not Assigned,"PRFA01000175:19,625..20,824(+)",PRFA01000175:19625..20824(+)
C4B63_17g179,No,middle,20.619402522153,0.519629828923995,0,0,Importin subunit beta-3,C4B63_17g179,0,Not Assigned,"PRFA01000017:529,667..532,870(-)",PRFA01000017:529667..532870(-)
C4B63_17g253,No,late,30.8938408016788,0.654567567874569,0,0,Paraflagellar Rod Proteome Component 9,C4B63_17g253,0,Not Assigned,"PRFA01000017:373,483..374,514(-)",PRFA01000017:373483..374514(-)
C4B63_17g45,No,middle,26.9501540348299,0.437769460185519,0,0,kinesin,C4B63_17g45,0,Not Assigned,"PRFA01000017:105,671..108,955(+)",PRFA01000017:105671..108955(+)
C4B63_17g48,No,late,36.417663071423,1.37237643520683,0,0,ubiquitin-conjugating enzyme E2,C4B63_17g48,0,Not Assigned,"PRFA01000017:110,777..111,412(+)",PRFA01000017:110777..111412(+)
C4B63_17g52,Yes,early,14.0701523593668,0.409274041314661,1.95320222218243E-08,0.000259131338816943,RNA-binding protein,C4B63_17g52,1,Not Assigned,"PRFA01000017:118,476..119,237(+)",PRFA01000017:118476..119237(+)
C4B63_17g54,Yes,early,12.7892785101527,0.745239054665313,0,0,RNA-binding protein,C4B63_17g54,1,Not Assigned,"PRFA01000017:120,522..121,283(+)",PRFA01000017:120522..121283(+)
C4B63_17g65,Yes,middle,16.1193590714629,0.54220528767935,0,0,polypyrimidine tract-binding protein,C4B63_17g65,2,Not Assigned,"PRFA01000017:145,933..147,405(+)",PRFA01000017:145933..147405(+)
C4B63_17g81,No,middle,21.7236904995872,0.587962619875538,0,0,Staphylococcal nuclease domain-containing protein 1,C4B63_17g81,1,Not Assigned,"PRFA01000017:172,882..173,652(+)",PRFA01000017:172882..173652(+)
C4B63_17g82,No,middle,18.9452864602569,0.202986861905433,0,0,ubiquitin-conjugating enzyme E2,C4B63_17g82,0,Not Assigned,"PRFA01000017:174,803..175,546(+)",PRFA01000017:174803..175546(+)
C4B63_17g90,No,middle,21.7759396631523,0.434429695074644,0,0,"T-complex protein 1, beta subunit",C4B63_17g90,1,Not Assigned,"PRFA01000017:193,815..195,431(+)",PRFA01000017:193815..195431(+)
C4B63_17g96,No,middle,22.7569491772892,0.326778450047402,0,0,"Dynein intermediate chain 1, axonemal",C4B63_17g96,0,Not Assigned,"PRFA01000017:204,464..206,275(+)",PRFA01000017:204464..206275(+)
C4B63_17g98,No,late,29.596550521108,0.582907705861295,0,0,E3 ubiquitin-protein ligase UPL3,C4B63_17g98,0,Not Assigned,"PRFA01000017:209,355..214,253(+)",PRFA01000017:209355..214253(+)
C4B63_187g86c,No,late,30.7200421420043,1.94241756065848,0,0,cysteine peptidase inhibitor,C4B63_187g86c,1,Not Assigned,"PRFA01000187:45,956..46,288(+)",PRFA01000187:45956..46288(+)
C4B63_18g1144c,No,middle,28.5276441391929,0.571990861751285,0,0,conserved hypothetical protein,C4B63_18g1144c,0,Not Assigned,"PRFA01000018:350,013..350,333(-)",PRFA01000018:350013..350333(-)
C4B63_18g141,No,middle,19.3161559656645,0.43403962568078,0,0,MORN repeat-containing protein 1,C4B63_18g141,1,Not Assigned,"PRFA01000018:462,167..463,243(+)",PRFA01000018:462167..463243(+)
C4B63_18g144,No,early,11.7164445577495,0.780694961315451,0,0,60S ribosomal protein L9,C4B63_18g144,3,Not Assigned,"PRFA01000018:466,745..467,314(+)",PRFA01000018:466745..467314(+)
C4B63_18g148,No,middle,19.7806570183093,0.20478586713201,0,0,PAS-domain containing phosphoglycerate kinase,C4B63_18g148,1,Not Assigned,"PRFA01000018:473,637..475,220(+)",PRFA01000018:473637..475220(+)
C4B63_18g153,No,late,29.5988764540509,0.446971154352184,0,0,T-complex protein 11,C4B63_18g153,0,Not Assigned,"PRFA01000018:482,881..485,283(+)",PRFA01000018:482881..485283(+)
C4B63_18g156,No,middle,26.7066351802003,2.19093669619464,0,0,protein mkt1,C4B63_18g156,0,Not Assigned,"PRFA01000018:485,680..487,884(+)",PRFA01000018:485680..487884(+)
C4B63_18g164,No,early,15.3807008289575,0.884074622642174,0,0,S-adenosylmethionine synthetase,C4B63_18g164,0,Not Assigned,"PRFA01000018:500,953..502,137(+)",PRFA01000018:500953..502137(+)
C4B63_18g170,No,middle,25.7267711762304,0.303738395360587,0,0,serine/arginine-rich protein specific kinase SRPK,C4B63_18g170,1,Not Assigned,"PRFA01000018:509,573..511,723(+)",PRFA01000018:509573..511723(+)
C4B63_18g176,No,early,12.8988096670775,0.572841490731962,0,0,ribosomal protein L15,C4B63_18g176,2,Not Assigned,"PRFA01000018:520,103..520,717(+)",PRFA01000018:520103..520717(+)
C4B63_18g179,No,middle,22.7542676452362,0.149542685887076,0,0,conserved hypothetical protein,C4B63_18g179,0,Not Assigned,"PRFA01000018:522,723..524,078(+)",PRFA01000018:522723..524078(+)
C4B63_18g180,No,middle,24.3283689437727,0.463970072627843,0,0,Tetratricopeptide repeat protein 39B,C4B63_18g180,0,Not Assigned,"PRFA01000018:524,643..526,361(+)",PRFA01000018:524643..526361(+)
C4B63_18g201,No,middle,17.2001234220388,0.273696047593764,0,0,conserved hypothetical protein,C4B63_18g201,0,Not Assigned,"PRFA01000018:442,989..443,276(-)",PRFA01000018:442989..443276(-)
C4B63_18g204,No,middle,17.150591601321,0.453730822467975,0,0,3-hydroxy-3-methylglutaryl-CoA reductase,C4B63_18g204,0,Not Assigned,"PRFA01000018:435,591..436,898(-)",PRFA01000018:435591..436898(-)
C4B63_18g210,No,middle,25.2431534326594,0.448138691381184,0,0,conserved hypothetical protein,C4B63_18g210,0,Not Assigned,"PRFA01000018:426,648..427,259(-)",PRFA01000018:426648..427259(-)
C4B63_18g211,No,late,29.7927952618126,0.705886965692173,0,0,conserved hypothetical protein,C4B63_18g211,0,Not Assigned,"PRFA01000018:425,496..426,014(-)",PRFA01000018:425496..426014(-)
C4B63_18g212,No,early,14.4588779198854,0.748234655822647,0,0,valyl-tRNA synthetase,C4B63_18g212,0,Not Assigned,"PRFA01000018:421,657..424,584(-)",PRFA01000018:421657..424584(-)
C4B63_18g216,Yes,middle,25.4537234171236,1.74781957147866,0,0,RNA-binding protein 42 (RNA-binding motif protein 42),C4B63_18g216,0,Not Assigned,"PRFA01000018:411,917..412,510(-)",PRFA01000018:411917..412510(-)
C4B63_18g220,No,late,40.534131764494,1.62590468141397,0,0,kinesin,C4B63_18g220,0,Not Assigned,"PRFA01000018:401,625..404,978(-)",PRFA01000018:401625..404978(-)
C4B63_18g221,No,middle,20.3331751446953,0.564099394140085,0,0,protein kinase-like protein,C4B63_18g221,4,Not Assigned,"PRFA01000018:395,476..400,752(-)",PRFA01000018:395476..400752(-)
C4B63_18g233,No,middle,17.0910722829249,0.553183498344197,0,0,glyceraldehyde 3-phosphate dehydrogenase,C4B63_18g233,9,Not Assigned,"PRFA01000018:375,286..376,365(-)",PRFA01000018:375286..376365(-)
C4B63_18g239,No,middle,16.601940540307,0.524069332000842,0,0,aldehyde dehydrogenase,C4B63_18g239,0,Not Assigned,"PRFA01000018:365,106..366,524(-)",PRFA01000018:365106..366524(-)
C4B63_18g249,No,early,12.3395551807123,0.387299153456471,0,0,conserved hypothetical protein,C4B63_18g249,0,Not Assigned,"PRFA01000018:345,174..347,510(-)",PRFA01000018:345174..347510(-)
C4B63_18g260,No,middle,20.7497548115678,0.470378384725265,0,0,small glutamine-rich tetratricopeptide repeat protein,C4B63_18g260,0,Not Assigned,"PRFA01000018:328,989..330,176(-)",PRFA01000018:328989..330176(-)
C4B63_18g271,No,late,37.3263884226773,0.742948002747138,0,0,conserved hypothetical protein,C4B63_18g271,0,Not Assigned,"PRFA01000018:312,789..313,283(-)",PRFA01000018:312789..313283(-)
C4B63_18g282,No,late,35.2717720518718,1.67049926297103,0,0,reticulon domain protein,C4B63_18g282,0,Not Assigned,"PRFA01000018:295,847..296,407(-)",PRFA01000018:295847..296407(-)
C4B63_18g287,No,early,14.8147381154639,0.582457885109219,0,0,"heat shock 70 kDa protein, mitochondrial precursor",C4B63_18g287,2,Not Assigned,"PRFA01000018:285,524..287,491(-)",PRFA01000018:285524..287491(-)
C4B63_18g29,No,middle,19.3093600343487,0.28381385066348,0,0,phosphopantothenoylcysteine decarboxylase,C4B63_18g29,0,Not Assigned,"PRFA01000018:52,786..53,595(+)",PRFA01000018:52786..53595(+)
C4B63_18g293,No,early,13.8888193262215,0.889824246378963,0,0,"heat shock 70 kDa protein, mitochondrial precursor",C4B63_18g293,2,Not Assigned,"PRFA01000018:272,529..274,496(-)",PRFA01000018:272529..274496(-)
C4B63_18g308,No,middle,21.8763433293014,0.190788093008964,0,0,sphingosine 1-phosphate lyase,C4B63_18g308,0,Not Assigned,"PRFA01000018:243,036..244,652(-)",PRFA01000018:243036..244652(-)
C4B63_18g326,Yes,late,33.8920412654801,2.25383213451557,0,0,zinc-finger protein ZFP1,C4B63_18g326,1,Not Assigned,"PRFA01000018:202,732..203,070(-)",PRFA01000018:202732..203070(-)
C4B63_18g56,No,middle,17.7250851429997,0.268099257518949,0,0,queuine tRNA-ribosyltransferase,C4B63_18g56,0,Not Assigned,"PRFA01000018:98,866..100,287(+)",PRFA01000018:98866..100287(+)
C4B63_18g811c,No,early,12.5533373170262,0.975066715468701,0,0,40S ribosomal protein S14,C4B63_18g811c,1,Not Assigned,"PRFA01000018:512,224..512,658(+)",PRFA01000018:512224..512658(+)
C4B63_191g13,No,early,14.6637282950345,0.419627377326676,0,0,retrotransposon hot spot (RHS) protein,C4B63_191g13,704,Not Assigned,"PRFA01000191:44,779..46,713(+)",PRFA01000191:44779..46713(+)
C4B63_194g17,No,middle,17.5834905419751,0.707213197705383,0,0,phosphate-repressible phosphate permease,C4B63_194g17,6,Not Assigned,"PRFA01000194:40,059..41,624(-)",PRFA01000194:40059..41624(-)
C4B63_19g101,Yes,middle,27.4297579666806,1.95298594857157,0,0,U-rich RNA-binding protein UBP-2,C4B63_19g101,2,Not Assigned,"PRFA01000019:442,201..442,701(+)",PRFA01000019:442201..442701(+)
C4B63_19g103,Yes,middle,27.1031238129114,3.28312355518554,0,0,RNA-binding protein,C4B63_19g103,2,Not Assigned,"PRFA01000019:445,872..446,546(+)",PRFA01000019:445872..446546(+)
C4B63_19g11,No,early,14.4537991855534,0.442465899278413,0,0,conserved hypothetical protein,C4B63_19g11,1,Not Assigned,"PRFA01000019:24,994..26,208(+)",PRFA01000019:24994..26208(+)
C4B63_19g1441c,No,late,31.3637412043202,0.849268750216062,0,0,conserved hypothetical protein,C4B63_19g1441c,0,Not Assigned,"PRFA01000019:173,500..173,829(-)",PRFA01000019:173500..173829(-)
C4B63_19g166,No,early,13.2548732925381,0.562976017971129,0,0,eukaryotic translation initiation factor 5A,C4B63_19g166,1,Not Assigned,"PRFA01000019:388,608..389,111(-)",PRFA01000019:388608..389111(-)
C4B63_19g169,No,late,33.8603882991895,2.82964266736998,0,0,protein phosphatase,C4B63_19g169,0,Not Assigned,"PRFA01000019:383,108..384,331(-)",PRFA01000019:383108..384331(-)
C4B63_19g175,No,middle,23.4561472958024,0.570250170717431,0,0,Pleckstrin homology domain,C4B63_19g175,0,Not Assigned,"PRFA01000019:364,672..365,520(-)",PRFA01000019:364672..365520(-)
C4B63_19g183,No,middle,19.3486041423058,0.849961334812572,0,0,cyclophilin a,C4B63_19g183,3,Not Assigned,"PRFA01000019:345,463..345,996(-)",PRFA01000019:345463..345996(-)
C4B63_19g184,No,middle,16.9188568328378,1.22686187562984,0,0,conserved hypothetical protein,C4B63_19g184,0,Not Assigned,"PRFA01000019:340,980..344,621(-)",PRFA01000019:340980..344621(-)
C4B63_19g185,No,early,14.5308567230676,0.771220099355802,0,0,isocitrate dehydrogenase,C4B63_19g185,1,Not Assigned,"PRFA01000019:339,087..340,331(-)",PRFA01000019:339087..340331(-)
C4B63_19g195,No,middle,18.1121831605433,0.538169663441485,0,0,Nuclear pore complex protein 158,C4B63_19g195,0,Not Assigned,"PRFA01000019:317,776..322,239(-)",PRFA01000019:317776..322239(-)
C4B63_19g231,No,middle,26.1654622202162,0.512433030790498,0,0,radial spoke protein 3,C4B63_19g231,0,Not Assigned,"PRFA01000019:234,820..235,824(-)",PRFA01000019:234820..235824(-)
C4B63_19g43,No,middle,17.9786912275569,0.84400938912648,0,0,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase",C4B63_19g43,0,Not Assigned,"PRFA01000019:99,824..100,819(+)",PRFA01000019:99824..100819(+)
C4B63_19g692c,No,middle,18.5587969106275,0.43039915365734,0,0,dynein light chain,C4B63_19g692c,0,Not Assigned,"PRFA01000019:391,710..391,982(+)",PRFA01000019:391710..391982(+)
C4B63_19g76,No,middle,23.3505114680803,0.330750368881935,0,0,conserved hypothetical protein,C4B63_19g76,0,Not Assigned,"PRFA01000019:390,398..391,222(+)",PRFA01000019:390398..391222(+)
C4B63_19g86,No,late,36.7233114122229,3.62982417069209,0,0,CYC2-like cyclin 6,C4B63_19g86,4,Not Assigned,"PRFA01000019:416,594..417,529(+)",PRFA01000019:416594..417529(+)
C4B63_19g91,No,middle,26.6577268119913,1.1609045340334,0,0,Protein LSM14 homolog A-B,C4B63_19g91,0,Not Assigned,"PRFA01000019:425,702..426,523(+)",PRFA01000019:425702..426523(+)
C4B63_19g97,No,middle,26.0941761120217,0.89211908545225,0,0,"ABC transporter, mitochondrial",C4B63_19g97,1,Not Assigned,"PRFA01000019:436,628..437,464(+)",PRFA01000019:436628..437464(+)
C4B63_1g346,No,middle,17.8673587370551,0.409548399608484,0,0,mucin TcMUCII,C4B63_1g346,33,Not Assigned,"PRFA01000001:831,952..832,560(+)",PRFA01000001:831952..832560(+)
C4B63_1g523,No,early,15.1337481001786,0.547938132618834,0,0,L1Tc protein Reverse transcriptase/Endonuclase/Rnase H domains,C4B63_1g523,404,Not Assigned,"PRFA01000001:1,223,228..1,228,192(+)",PRFA01000001:1223228..1228192(+)
C4B63_1g57,No,middle,16.0421489551794,0.572402746538121,0,0,AAA ATPase,C4B63_1g57,0,Not Assigned,"PRFA01000001:128,053..131,697(+)",PRFA01000001:128053..131697(+)
C4B63_1g74,No,middle,22.5520326277698,0.760057774088309,0,0,eukaryotic translation initiation factor 2 subunit,C4B63_1g74,1,Not Assigned,"PRFA01000001:156,683..158,116(+)",PRFA01000001:156683..158116(+)
C4B63_202g29,No,middle,18.0038680820475,0.583644840128684,0,0,cysteine peptidase(fragment),C4B63_202g29,48,Not Assigned,"PRFA01000202:3,502..4,161(-)",PRFA01000202:3502..4161(-)
C4B63_204g13,No,middle,17.8841743776498,0.314516257121914,0,0,N-acetyltransferase subunit Nat1,C4B63_204g13,1,Not Assigned,"PRFA01000204:43,436..45,574(-)",PRFA01000204:43436..45574(-)
C4B63_207g1,No,middle,17.7199016062448,0.276606026233507,0,0,conserved hypothetical protein,C4B63_207g1,0,Not Assigned,"PRFA01000207:1,703..2,326(+)",PRFA01000207:1703..2326(+)
C4B63_207g13,No,middle,17.1461848246211,0.638312437883188,0,0,prostaglandin F synthase,C4B63_207g13,2,Not Assigned,"PRFA01000207:21,621..22,469(+)",PRFA01000207:21621..22469(+)
C4B63_207g15,No,middle,16.328867994868,0.711987981268293,0,0,prostaglandin F synthase,C4B63_207g15,2,Not Assigned,"PRFA01000207:25,517..26,365(+)",PRFA01000207:25517..26365(+)
C4B63_208g37,No,middle,18.7738306160103,0.535402163712413,0,0,kinetoplast DNA-associated protein,C4B63_208g37,12,Not Assigned,"PRFA01000208:25,689..27,944(-)",PRFA01000208:25689..27944(-)
C4B63_20g10,No,early,15.8404820185354,0.772531164696331,0,0,D-isomer specific 2-hydroxyacid dehydrogenase-protein,C4B63_20g10,9,Not Assigned,"PRFA01000020:12,549..13,205(+)",PRFA01000020:12549..13205(+)
C4B63_20g137,No,middle,19.3119845712318,0.633040875105174,0,0,leucine-rich repeat protein (LRRP),C4B63_20g137,0,Not Assigned,"PRFA01000020:341,260..344,004(+)",PRFA01000020:341260..344004(+)
C4B63_20g153,No,middle,19.2110389056762,0.63255699506129,0,0,pyrroline-5-carboxylate synthetase-like protein,C4B63_20g153,0,Not Assigned,"PRFA01000020:375,955..378,213(+)",PRFA01000020:375955..378213(+)
C4B63_20g170,No,middle,16.5073336774951,0.495118287268257,0,0,glucosamine-6-phosphate isomerase,C4B63_20g170,0,Not Assigned,"PRFA01000020:412,560..413,399(+)",PRFA01000020:412560..413399(+)
C4B63_20g172,No,middle,19.4494156729088,0.449025543414703,0,0,chaperonin alpha subunit,C4B63_20g172,0,Not Assigned,"PRFA01000020:415,560..417,203(+)",PRFA01000020:415560..417203(+)
C4B63_20g178,No,middle,19.3222497242054,0.593999253538596,0,0,dihydrolipoyl dehydrogenase,C4B63_20g178,0,Not Assigned,"PRFA01000020:425,108..426,541(+)",PRFA01000020:425108..426541(+)
C4B63_20g180,No,early,12.168099426026,0.385548748967699,0,0,conserved hypothetical protein,C4B63_20g180,0,Not Assigned,"PRFA01000020:431,768..434,812(+)",PRFA01000020:431768..434812(+)
C4B63_20g187,No,middle,20.9630003886242,0.498854659372973,0,0,conserved hypothetical protein,C4B63_20g187,1,Not Assigned,"PRFA01000020:449,699..450,601(+)",PRFA01000020:449699..450601(+)
C4B63_20g195,No,late,39.033562806882,0.607653625167536,0,0,Zinc finger protein 474,C4B63_20g195,0,Not Assigned,"PRFA01000020:470,938..472,806(+)",PRFA01000020:470938..472806(+)
C4B63_20g200,No,middle,16.1172417190683,0.285895134219503,0,0,conserved hypothetical protein,C4B63_20g200,0,Not Assigned,"PRFA01000020:476,735..478,060(+)",PRFA01000020:476735..478060(+)
C4B63_20g204,No,early,15.4567437446092,0.417807392476882,0,0,rab-like GTPase activating protein,C4B63_20g204,0,Not Assigned,"PRFA01000020:489,130..490,857(+)",PRFA01000020:489130..490857(+)
C4B63_20g208,No,middle,19.5112956102662,0.407605840477747,0,0,conserved hypothetical protein,C4B63_20g208,0,Not Assigned,"PRFA01000020:496,916..497,356(+)",PRFA01000020:496916..497356(+)
C4B63_20g213,No,early,13.280768138827,0.975251181295512,0,0,enoyl-CoA hydratase/isomerase family protein,C4B63_20g213,1,Not Assigned,"PRFA01000020:503,605..504,693(+)",PRFA01000020:503605..504693(+)
C4B63_20g219,No,middle,19.2583414062456,0.741639788875068,0,0,kinetoplast-associated protein 3,C4B63_20g219,0,Not Assigned,"PRFA01000020:516,497..517,066(+)",PRFA01000020:516497..517066(+)
C4B63_20g319,No,early,14.9930967457063,0.721370355558315,0,0,25 kDa translation elongation factor 1-beta,C4B63_20g319,1,Not Assigned,"PRFA01000020:220,920..221,588(-)",PRFA01000020:220920..221588(-)
C4B63_20g44,No,late,31.394578537663,1.0010533134281,0,0,conserved hypothetical protein,C4B63_20g44,0,Not Assigned,"PRFA01000020:94,141..95,856(+)",PRFA01000020:94141..95856(+)
C4B63_20g45,No,middle,27.740274836265,0.886639539079017,0,0,conserved hypothetical protein,C4B63_20g45,0,Not Assigned,"PRFA01000020:97,446..97,904(+)",PRFA01000020:97446..97904(+)
C4B63_20g747c,No,middle,19.778960875545,0.492296704349568,0,0,cyclin-dependent kinases regulatory subunit,C4B63_20g747c,0,Not Assigned,"PRFA01000020:518,387..518,683(+)",PRFA01000020:518387..518683(+)
C4B63_212g19,No,early,12.9651432802334,0.770795271261921,0,0,40S ribosomal protein S21,C4B63_212g19,1,Not Assigned,"PRFA01000212:31,317..32,060(+)",PRFA01000212:31317..32060(+)
C4B63_219g46,No,middle,19.6420230715107,0.307637473355272,0,0,endoribonuclease L-PSP (pb5),C4B63_219g46,5,Not Assigned,"PRFA01000219:23,070..23,552(-)",PRFA01000219:23070..23552(-)
C4B63_21g255,No,middle,24.5010759853709,0.999086672809144,0,0,Nucleolar protein 56,C4B63_21g255,0,Not Assigned,"PRFA01000021:375,948..377,393(-)",PRFA01000021:375948..377393(-)
C4B63_21g268,No,early,13.183959046058,0.346692871183236,0,0,folate/pteridine transporter,C4B63_21g268,4,Not Assigned,"PRFA01000021:343,063..344,952(-)",PRFA01000021:343063..344952(-)
C4B63_21g42,No,middle,27.8950614738794,1.64012628815169,0,0,PAB1-binding protein,C4B63_21g42,0,Not Assigned,"PRFA01000021:94,833..96,488(+)",PRFA01000021:94833..96488(+)
C4B63_21g67,No,middle,28.1741124052936,0.471204611612144,0,0,conserved hypothetical protein,C4B63_21g67,0,Not Assigned,"PRFA01000021:146,113..146,721(+)",PRFA01000021:146113..146721(+)
C4B63_21g68,No,middle,26.8464971466603,1.15228661628455,0,0,small GTP-binding protein Rab11,C4B63_21g68,0,Not Assigned,"PRFA01000021:147,919..148,572(+)",PRFA01000021:147919..148572(+)
C4B63_21g92,No,middle,25.541833839671,1.59458358910215,0,0,conserved hypothetical protein,C4B63_21g92,0,Not Assigned,"PRFA01000021:204,121..204,633(+)",PRFA01000021:204121..204633(+)
C4B63_22g161,No,middle,26.0678825886303,0.749207834469605,0,0,calpain-like cysteine peptidase,C4B63_22g161,2,Not Assigned,"PRFA01000022:419,254..421,767(+)",PRFA01000022:419254..421767(+)
C4B63_22g162,No,middle,19.0511753454913,0.488207130049726,0,0,"cysteine peptidase, Clan CA, family C2",C4B63_22g162,0,Not Assigned,"PRFA01000022:423,466..425,544(+)",PRFA01000022:423466..425544(+)
C4B63_22g163,No,middle,22.5385339067937,0.455874164492565,0,0,calpain cysteine peptidase,C4B63_22g163,0,Not Assigned,"PRFA01000022:427,145..429,334(+)",PRFA01000022:427145..429334(+)
C4B63_22g172,No,early,15.4811444445317,0.738889058221179,0,0,beta tubulin,C4B63_22g172,9,Not Assigned,"PRFA01000022:457,717..459,045(+)",PRFA01000022:457717..459045(+)
C4B63_22g173,No,early,15.8163205003321,0.501705530885719,0,0,coatomer beta subunit,C4B63_22g173,0,Not Assigned,"PRFA01000022:459,489..462,431(+)",PRFA01000022:459489..462431(+)
C4B63_22g178,No,middle,27.3977258584372,0.62090976014109,0,0,paralyzed flagella protein 16,C4B63_22g178,0,Not Assigned,"PRFA01000022:471,376..472,917(+)",PRFA01000022:471376..472917(+)
C4B63_22g23,No,middle,17.1858266227592,0.591428095305757,0,0,ARM-like helical domain-containing protein,C4B63_22g23,1,Not Assigned,"PRFA01000022:90,646..92,148(+)",PRFA01000022:90646..92148(+)
C4B63_22g25,No,middle,22.0034002252224,0.570220994666243,0,0,Major Facilitator Superfamily,C4B63_22g25,0,Not Assigned,"PRFA01000022:93,217..94,863(+)",PRFA01000022:93217..94863(+)
